"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
208,"Modernizacja placu zabaw w dzielnicy Rembertów","urban greenery,public space,welfare","seniors,adults,youth,children",rembertow,2023,10911,446,0.04087618000183301,1011308,135000,0.13349048954423381,0,0,0,1,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
209,"Zielone przystanki autobusowe w Rembertowie","urban greenery,public space,public transit and roads","people with disabilities,seniors,adults,youth,children",rembertow,2023,10911,451,0.041334433140867016,1011308,200000,0.1977636882136797,0,1,0,0,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
393,"Więcej ławek w Rembertowie","urban greenery,public space","seniors,adults,youth,children",rembertow,2023,10911,391,0.03583539547245899,1011308,200000,0.1977636882136797,0,0,0,0,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
394,"Antysmogowy mural w Rembertowie na SP 217","urban greenery,public space,environmental protection","people with disabilities,seniors,adults,youth,children",rembertow,2023,10911,288,0.026395380808358536,1011308,81000,0.08009429372654028,1,0,0,0,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
395,"Mural na ratuszu Dzielnicy Rembertów","public space,culture","people with disabilities,seniors,adults,youth,children",rembertow,2023,10911,212,0.0194299330950417,1011308,127000,0.12557994201568662,0,0,0,0,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
398,"Grudniowa iluminacja świetlna na ul. Czerwonych Beretów i ul. Frontowej","public space,culture,public transit and roads","people with disabilities,seniors,adults,youth,children",rembertow,2023,10911,215,0.019704884978462102,1011308,202000,0.19974132509581652,0,0,0,0,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
470,"Siłownia plenerowa przy LI Liceum Ogólnokształcącym im. Tadeusza Kościuszki w Warszawie","sport","people with disabilities,seniors,adults,youth,children",rembertow,2023,10911,352,0.032261020987993765,1011308,96186,0.09511049057260498,1,0,0,0,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
782,"Pomnik Józefa Piłsudskiego","public space,education","people with disabilities,seniors,adults,youth,children",rembertow,2023,10911,158,0.014480799193474475,1011308,49000,0.04845210361235153,1,0,1,1,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
839,"Nasadzenia krzewów w dzielnicy Rembertów","urban greenery,public space,environmental protection","adults,children",rembertow,2023,10911,483,0.04426725323068463,1011308,175000,0.17304322718696974,0,1,0,0,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
840,"Nowości wydawnicze i spotkania w Bibliotece","culture,education","people with disabilities,seniors,adults,youth,children",rembertow,2023,10911,455,0.041701035652094216,1011308,145000,0.1433786739549178,1,1,0,0,0.5526315789473685,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.976854726749912,0.9927885471092882,0.6582712684958489,0.9916019649800061,38,approval
