election_id,voter_id,age,sex
2,2386,27,M
2,40872,59,F
2,67856,43,F
2,72298,6,M
2,53479,6,F
2,27703,34,M
2,40784,37,M
2,37440,13,M
2,45625,41,M
2,20458,32,F
2,6086,38,F
2,54239,24,F
2,51992,32,F
2,63128,36,F
2,2975,39,F
2,23667,40,F
2,36714,35,F
2,72595,11,F
2,21929,9,F
2,64662,41,M
2,48383,50,F
2,1231,32,F
2,78076,62,M
2,5301,22,F
2,32183,20,F
2,86684,14,F
2,28768,31,F
2,58003,12,M
2,15744,40,F
2,62853,15,M
2,42979,32,M
2,34707,3,F
2,47514,26,F
2,58544,18,M
2,43004,40,M
2,11079,43,M
2,21634,8,F
2,22264,62,F
2,56966,44,F
2,27060,29,F
2,37087,37,F
2,42952,47,M
2,54097,34,F
2,670,14,M
2,67794,34,F
2,2924,39,M
2,50123,39,F
2,40506,29,M
2,67846,72,M
2,27331,41,F
2,10713,38,F
2,319,42,F
2,29959,40,F
2,75165,31,F
2,59665,37,F
2,65074,22,F
2,54190,60,F
2,72730,38,F
2,57170,30,F
2,40526,33,M
2,23635,36,F
2,32163,33,M
2,69005,59,F
2,57109,2,F
2,21647,34,F
2,44266,39,M
2,48994,36,F
2,30409,5,M
2,38098,67,F
2,12855,34,M
2,59170,37,F
2,42238,71,F
2,4825,7,F
2,78288,40,F
2,72302,70,F
2,13041,36,F
2,37646,30,F
2,9122,24,F
2,63391,9,M
2,67670,39,F
2,49979,37,F
2,34070,31,F
2,70520,43,F
2,72281,8,F
2,18195,57,M
2,44798,46,M
2,74034,61,F
2,84635,38,M
2,47437,24,F
2,85899,43,M
2,56798,68,M
2,53945,33,F
2,59925,47,M
2,75570,44,M
2,42189,24,M
2,34145,12,M
2,59205,18,F
2,21496,44,M
2,51434,35,F
2,44337,10,M
2,34641,36,M
2,77530,43,M
2,8681,34,F
2,37381,32,F
2,54286,39,F
2,18376,43,F
2,19423,34,F
2,5597,27,F
2,57512,41,F
2,29790,37,F
2,18231,37,F
2,10000,6,F
2,84714,29,F
2,33368,27,M
2,33855,28,M
2,42916,40,F
2,60394,43,F
2,64291,61,M
2,70870,35,F
2,14700,40,F
2,20701,49,F
2,10013,66,F
2,83915,39,M
2,75623,10,M
2,58173,19,F
2,28107,53,F
2,28070,54,F
2,34347,38,F
2,6538,41,F
2,50744,68,F
2,9964,10,F
2,37043,26,F
2,51579,63,M
2,69043,44,F
2,41502,47,M
2,36952,36,F
2,19134,56,F
2,25016,60,M
2,86461,81,M
2,65582,71,F
2,60775,27,F
2,25714,39,F
2,60359,48,F
2,29017,43,F
2,50477,19,M
2,26833,28,M
2,53588,41,F
2,156,50,M
2,49288,30,F
2,12314,34,F
2,24567,38,F
2,30663,34,M
2,74940,83,F
2,20271,38,F
2,54725,36,F
2,58726,6,F
2,78939,41,F
2,18736,38,F
2,17441,11,M
2,56760,19,F
2,35903,46,F
2,10149,43,F
2,13636,40,M
2,17397,35,M
2,57018,28,F
2,80757,21,M
2,83319,24,F
2,81506,10,M
2,57069,31,M
2,80027,42,M
2,37560,27,M
2,2709,36,F
2,5771,42,M
2,25727,47,M
2,34686,10,M
2,69044,9,F
2,52651,30,F
2,44454,40,M
2,34606,43,F
2,9427,33,F
2,35731,31,F
2,8253,42,M
2,35558,67,F
2,56257,18,F
2,40678,47,F
2,42894,26,F
2,77945,7,M
2,46873,61,M
2,6136,9,M
2,49772,33,F
2,77958,41,F
2,53625,11,F
2,2969,20,F
2,55782,33,F
2,65919,11,F
2,47753,38,F
2,42921,60,M
2,46950,31,F
2,24642,38,F
2,54277,64,M
2,42884,59,M
2,539,10,F
2,61422,52,F
2,79689,60,F
2,19339,50,F
2,70337,40,F
2,36843,40,F
2,32142,22,F
2,25496,25,F
2,10070,32,F
2,43804,6,M
2,52504,64,M
2,6162,1,F
