0,voter_id,age,sex,voting_method,1,approval on project 2296,approval on project 2263,approval on project 1867,approval on project 2037,approval on project 518,approval on project 248,approval on project 1226,approval on project 2205
105,17024,35,M,internet,0,0,0,0,1,1,0,0,0
106,17347,27,F,internet,0,1,0,0,0,0,0,0,0
107,17413,82,M,internet,1,1,1,1,0,0,0,0,1
108,17450,65,F,internet,1,1,1,0,0,0,0,0,0
109,17519,22,F,internet,0,1,0,1,1,1,0,1,0
110,17632,21,M,internet,1,1,1,1,1,1,1,0,0
111,17665,42,F,internet,0,0,0,0,1,0,0,0,0
112,17668,34,M,internet,0,1,0,1,0,0,0,0,0
113,17673,40,M,internet,0,1,0,0,1,0,0,0,0
114,17722,59,M,internet,1,0,0,0,0,0,0,0,0
115,17798,34,F,internet,1,0,0,0,0,0,0,0,0
116,17889,37,F,internet,1,0,1,0,1,0,0,0,0
117,17944,52,M,internet,1,1,1,1,0,1,1,1,1
118,17979,46,F,internet,1,1,1,1,1,1,1,0,1
119,18038,40,F,internet,1,1,1,1,1,1,1,0,1
120,18126,43,F,internet,1,1,1,1,1,1,1,0,1
121,18151,29,F,internet,0,1,0,0,0,0,0,0,0
122,18194,64,F,internet,1,1,1,1,1,1,1,0,1
123,18241,20,F,internet,1,1,1,1,0,1,1,1,1
124,18251,35,M,internet,1,1,1,1,1,1,1,0,1
125,18256,5,M,internet,1,1,1,1,1,1,1,0,1
126,18259,38,F,internet,1,0,1,1,0,0,0,0,1
127,18403,51,M,internet,1,1,1,1,1,1,1,0,1
128,18414,38,F,internet,1,1,1,1,1,1,1,0,1
129,18456,36,F,internet,1,0,1,0,1,0,0,0,0
130,18465,43,M,internet,1,1,0,0,1,1,1,1,1
131,18772,36,F,internet,1,1,1,1,1,1,1,0,1
132,18824,32,M,internet,1,1,1,0,1,1,1,0,1
133,18857,22,F,internet,1,0,1,0,1,1,1,1,0
134,19076,35,M,internet,0,1,0,1,1,0,0,0,0
135,19096,41,F,internet,0,1,1,0,1,1,1,1,0
136,19124,52,M,internet,1,0,0,1,0,0,0,0,0
137,19140,64,M,internet,1,1,1,1,0,1,1,1,1
138,19289,39,F,internet,1,0,0,0,1,0,0,0,0
139,19396,25,F,internet,1,1,1,0,0,0,0,1,0
140,19413,64,F,internet,0,0,0,0,1,0,0,0,0
141,19424,45,M,internet,1,1,1,1,1,1,1,0,1
142,19580,37,F,internet,1,1,1,1,1,1,1,0,1
143,19628,33,M,internet,0,0,0,0,1,0,0,0,0
144,19689,34,F,internet,1,1,1,1,0,1,1,1,1
145,19865,28,F,internet,0,1,1,0,1,1,1,1,1
146,19895,38,M,internet,1,1,1,1,1,1,1,0,1
147,20017,59,F,internet,0,0,0,1,1,0,0,1,0
148,20059,37,M,internet,1,1,1,1,0,1,1,1,1
149,20091,39,F,internet,1,0,1,1,1,0,0,0,0
150,20133,35,F,internet,1,1,1,1,1,1,1,0,1
151,20172,33,M,internet,1,1,1,1,1,1,1,0,1
152,20358,39,F,internet,1,1,1,1,1,1,1,0,1
153,20431,12,M,internet,1,1,1,1,1,0,0,0,0
154,20474,35,M,internet,1,1,1,1,1,1,1,0,1
155,20493,10,F,internet,1,1,1,1,0,1,1,1,1
156,20499,31,F,internet,1,1,1,1,1,0,1,0,0
157,20601,73,M,internet,1,0,0,0,0,1,1,1,0
158,20631,34,F,internet,1,1,0,0,1,1,1,1,1
159,20922,49,M,internet,1,1,1,1,1,1,1,0,1
160,21202,32,F,internet,0,0,0,0,1,0,0,1,0
161,21436,37,F,internet,1,1,1,1,1,1,1,0,0
162,21476,34,M,internet,1,1,1,1,1,1,1,0,1
163,21720,39,F,internet,1,1,0,0,1,1,1,1,1
164,21733,32,M,internet,1,1,1,1,0,1,1,1,0
165,21737,42,F,internet,1,1,1,1,0,1,1,1,1
166,21741,14,M,internet,0,0,1,0,0,0,0,0,0
167,21777,54,M,internet,0,0,0,0,1,0,0,0,0
168,21980,32,F,internet,1,0,1,0,1,0,0,1,0
169,21991,17,M,internet,0,1,1,0,0,0,0,0,0
170,22063,71,M,internet,0,1,1,0,0,0,0,0,0
171,22266,69,F,internet,1,1,1,0,1,0,0,1,0
172,22313,51,M,internet,1,0,0,1,0,0,0,0,0
173,22639,35,F,internet,1,0,1,1,0,0,0,0,0
174,22670,44,F,internet,0,1,0,0,0,0,0,0,0
175,22719,48,F,internet,0,1,0,1,1,1,0,0,0
176,22813,34,F,internet,0,0,0,1,0,0,0,0,0
177,22827,4,F,internet,1,1,1,1,1,1,1,0,1
178,22896,35,F,internet,1,1,1,1,0,1,1,1,1
179,22900,34,F,internet,0,1,1,1,1,0,0,0,0
180,22912,30,F,internet,1,1,1,1,1,1,1,0,1
181,22919,34,F,internet,1,1,1,1,1,1,1,0,1
182,22954,6,F,internet,1,1,1,1,1,1,1,0,1
183,22978,4,F,internet,0,0,0,0,1,0,0,0,0
184,23004,38,M,internet,1,0,1,1,0,0,0,1,0
185,23075,35,F,internet,1,1,1,1,1,1,0,0,0
186,23233,44,F,internet,1,1,1,1,0,1,1,1,1
187,23627,16,F,internet,0,0,0,0,1,0,0,0,0
188,23710,39,F,internet,1,0,1,1,0,0,0,0,0
189,23717,42,F,internet,0,0,0,1,0,0,0,0,0
190,23796,32,F,internet,0,0,0,1,0,0,0,0,0
191,23906,49,M,internet,1,1,1,1,1,1,1,0,1
192,23924,42,M,internet,0,0,0,1,0,0,0,0,0
193,23942,38,M,internet,1,1,1,1,1,0,1,0,1
194,23976,65,F,internet,1,1,1,1,1,1,1,0,1
195,24044,8,F,internet,1,1,1,1,1,1,1,0,1
196,24105,3,M,internet,0,0,1,0,0,0,0,0,0
197,24121,44,F,internet,0,1,1,1,0,0,0,0,0
