0,voter_id,age,sex,voting_method,1,approval on project 2296,approval on project 2263,approval on project 1867,approval on project 2037,approval on project 518,approval on project 248,approval on project 1226,approval on project 2205
456,60150,48,M,internet,1,1,1,1,1,1,1,0,0
457,60525,35,F,internet,1,1,1,1,0,1,1,1,1
458,60594,17,F,internet,0,0,1,1,1,0,0,0,0
459,60686,36,F,internet,0,0,0,1,0,0,0,0,0
460,60856,31,F,internet,1,1,1,1,1,1,1,0,1
461,60905,32,M,internet,1,1,1,1,0,1,1,1,1
462,60919,38,F,internet,0,0,0,1,0,0,0,0,0
463,60964,32,M,internet,1,1,1,1,0,1,1,1,1
464,60971,8,M,internet,1,1,1,1,0,1,1,1,1
465,61049,41,M,internet,1,1,1,0,1,0,0,1,0
466,61138,65,F,internet,1,0,1,1,0,0,0,0,0
467,61189,32,F,internet,1,0,1,1,0,0,0,0,0
468,61344,3,F,internet,0,0,0,0,1,0,0,0,0
469,61426,56,M,internet,1,1,1,1,0,1,1,1,1
470,61506,32,F,internet,1,1,1,1,0,1,1,1,1
471,61583,35,F,internet,1,0,1,0,0,0,0,0,0
472,61588,24,F,internet,0,0,1,1,1,0,0,0,0
473,61618,37,M,internet,1,0,1,1,0,0,0,0,0
474,61619,37,F,internet,0,1,1,0,0,0,0,0,0
475,61663,40,F,internet,1,1,1,1,0,0,0,1,0
476,61825,54,M,internet,1,0,1,1,0,0,0,0,0
477,61866,34,M,internet,1,0,1,1,0,0,0,0,0
478,61912,9,M,internet,1,1,1,1,0,1,1,1,1
479,62034,40,M,internet,1,0,1,1,0,0,0,0,0
480,62101,7,F,internet,1,0,1,1,0,0,0,0,0
481,62147,4,F,internet,0,0,0,0,0,0,1,1,0
482,62156,72,F,internet,0,0,0,0,0,0,0,1,0
483,62249,11,F,internet,1,0,1,1,1,0,0,0,0
484,62332,37,M,internet,1,0,1,1,1,0,0,0,0
485,62416,4,M,internet,1,1,1,1,1,1,1,0,1
486,62430,35,F,internet,1,1,1,1,0,0,0,0,0
487,62466,50,M,internet,1,1,1,1,1,1,1,0,1
488,62529,5,F,internet,0,0,0,0,1,0,0,0,0
489,62560,29,M,internet,1,1,1,1,0,1,1,1,1
490,62561,35,F,internet,1,1,0,0,1,1,1,1,0
491,62579,27,F,internet,1,1,1,1,1,1,1,0,1
492,62600,31,M,internet,1,1,1,1,0,1,1,1,1
493,62638,34,M,internet,0,0,0,0,1,0,0,0,0
494,62701,30,F,internet,1,1,1,1,1,1,1,0,1
495,62778,31,F,internet,0,0,0,0,0,0,0,1,0
496,62876,89,F,internet,1,1,0,0,1,1,1,1,1
497,62891,71,F,internet,1,1,0,0,1,1,1,1,1
498,62955,72,M,internet,1,1,1,1,1,0,0,0,1
499,63336,60,F,internet,0,0,0,1,0,0,0,0,0
500,63337,38,M,internet,1,0,1,1,0,0,0,0,0
501,63527,29,F,internet,0,0,0,0,0,0,0,1,0
502,63806,24,F,internet,0,1,0,0,0,1,0,0,1
503,64116,58,F,internet,1,1,1,1,0,0,1,1,1
504,64179,24,F,internet,1,0,1,1,0,0,0,1,0
505,64342,33,F,internet,1,1,1,1,0,1,1,1,1
506,64372,48,F,internet,1,1,1,1,0,0,0,0,1
507,64390,40,F,internet,0,0,1,1,0,0,0,0,1
508,64425,70,F,internet,1,1,1,1,0,1,1,1,1
509,64483,82,F,internet,1,1,0,0,1,1,1,1,0
510,64490,45,M,internet,1,1,1,1,1,1,1,0,1
511,64798,38,F,internet,0,0,0,0,1,0,0,0,0
512,64799,24,M,internet,1,1,0,0,1,1,1,1,1
513,65416,61,F,internet,1,1,1,1,0,1,1,1,1
514,65431,34,M,internet,0,0,1,0,0,0,0,0,0
515,65463,72,F,internet,1,1,1,1,1,0,0,0,0
516,65553,27,M,internet,1,1,1,0,1,0,0,1,0
517,65650,41,F,internet,0,0,0,1,1,1,1,1,0
518,65787,38,F,internet,0,0,0,0,1,0,0,0,0
519,65953,22,M,internet,1,1,1,1,1,0,0,0,0
520,65976,33,F,internet,1,1,1,1,1,1,1,0,1
521,66016,7,F,internet,0,0,0,1,1,1,1,1,0
522,66236,32,F,internet,1,1,0,0,1,0,0,0,0
523,66303,61,F,internet,1,1,0,0,1,1,1,1,0
524,66435,30,F,internet,1,0,0,0,0,0,0,0,0
525,66943,23,F,internet,1,1,1,1,1,1,1,0,1
526,67326,39,F,internet,1,1,1,1,1,1,1,0,1
527,67621,41,M,internet,0,0,0,0,0,0,0,1,0
528,67724,66,F,internet,0,0,0,0,1,0,0,0,0
529,67892,38,F,internet,1,1,1,1,0,1,1,1,1
530,67983,34,F,internet,1,0,1,1,1,1,1,0,0
531,68160,14,M,internet,1,1,1,1,1,1,1,0,1
532,68311,59,M,internet,1,0,1,0,1,1,1,1,0
533,68508,9,M,internet,1,0,1,1,0,0,0,0,0
534,68533,2,M,internet,1,1,1,1,0,1,1,1,0
535,68581,69,F,internet,1,0,0,1,1,0,0,0,1
536,69112,35,M,internet,0,1,0,0,1,0,0,1,0
537,69306,55,F,internet,0,1,1,0,1,1,1,1,1
538,69331,39,M,internet,0,0,0,0,1,0,0,0,0
539,69342,28,F,internet,1,0,1,1,0,0,0,0,0
540,69429,0,M,internet,1,1,1,1,0,0,0,1,0
541,69496,40,M,internet,1,1,1,1,1,1,1,0,1
542,69582,43,F,internet,1,1,0,0,1,1,1,1,0
543,69785,48,M,internet,1,1,1,1,0,1,1,1,1
544,69830,36,F,internet,1,1,1,1,1,1,1,0,1
545,70110,41,F,internet,1,0,1,0,1,1,1,0,0
546,70240,36,F,internet,1,0,1,1,0,0,0,0,0
547,70245,6,M,internet,1,0,1,1,0,0,0,0,1
548,70292,13,F,internet,0,1,0,1,1,0,1,1,0
549,70310,23,F,internet,1,1,1,1,0,1,1,1,1
550,70519,58,F,internet,1,1,1,1,1,1,1,0,1
551,70705,48,F,internet,0,1,0,1,1,0,1,1,0
552,70793,20,F,internet,0,1,0,0,0,1,0,0,0
553,70800,54,F,internet,1,1,1,0,1,0,0,1,0
554,70821,45,F,internet,1,1,0,0,1,1,1,1,0
555,70834,34,M,internet,1,1,1,0,1,0,0,1,0
556,70950,28,F,internet,1,1,1,0,1,0,0,1,0
557,71113,45,F,internet,0,1,0,0,1,1,1,1,0
558,71185,36,M,internet,0,1,0,0,0,0,0,0,0
559,71219,29,F,internet,0,0,0,0,1,0,0,1,0
560,71317,46,M,internet,1,1,1,1,0,1,1,1,1
561,71318,43,M,internet,0,1,0,0,0,0,0,0,0
562,71347,72,M,internet,1,1,1,1,0,1,1,1,1
563,71481,45,F,internet,0,0,0,0,1,1,1,1,0
564,71508,42,M,internet,0,1,1,0,1,1,1,1,1
565,71710,74,F,internet,1,1,1,1,1,1,1,0,0
566,71723,38,M,internet,1,1,1,1,1,1,1,0,1
567,71775,43,F,internet,1,0,1,1,0,0,0,1,0
568,71932,27,F,internet,1,1,1,1,1,1,1,0,1
569,71937,10,M,internet,1,0,1,0,1,0,1,1,1
570,71987,65,F,internet,1,1,1,1,0,1,1,1,1
571,72098,36,M,internet,1,1,0,0,1,1,1,0,0
572,72237,26,F,internet,1,0,1,1,0,0,0,0,0
573,72485,38,M,internet,1,0,1,0,1,1,0,1,1
574,72487,52,M,internet,0,0,1,1,0,0,0,0,1
575,72556,71,M,internet,0,0,0,1,1,1,1,1,1
576,72604,42,F,internet,1,1,1,1,1,1,1,0,1
577,72618,7,F,internet,1,0,1,1,1,0,0,0,0
578,72767,40,M,internet,0,1,0,0,1,0,0,0,0
579,72839,35,M,internet,1,1,1,1,1,0,0,0,1
580,73014,76,F,internet,1,1,1,1,0,0,0,0,1
581,73060,78,M,internet,1,1,1,1,0,0,0,0,1
582,73171,43,F,internet,1,0,1,1,0,0,0,0,0
583,73334,29,M,internet,1,1,1,1,0,0,0,0,1
584,73344,41,M,internet,1,1,1,1,0,1,1,1,1
585,73499,32,F,internet,1,1,1,1,1,1,1,0,1
586,73727,30,F,internet,1,1,1,1,1,1,1,0,1
587,73813,1,M,internet,0,1,0,0,0,0,0,0,0
588,73823,49,F,internet,1,1,1,1,0,1,1,1,1
589,73855,2,F,internet,1,1,1,0,1,0,0,1,0
590,74089,27,M,internet,1,1,1,0,0,0,0,0,0
591,74230,26,F,internet,1,1,1,1,0,0,1,0,0
592,74234,70,M,internet,1,1,1,1,0,1,1,1,1
593,74379,70,M,internet,1,1,1,1,0,0,1,0,0
594,74380,70,F,internet,1,1,1,1,0,1,1,1,1
595,74460,41,F,internet,1,0,0,1,1,1,1,0,1
596,75073,59,M,internet,0,0,0,1,1,0,0,1,0
597,75245,41,F,internet,1,1,1,1,1,1,1,0,0
598,75340,42,M,internet,0,0,0,0,0,0,0,1,0
599,75382,23,M,internet,1,1,1,0,1,0,0,1,0
600,75651,32,M,internet,0,0,0,0,0,0,0,1,0
601,75659,92,M,internet,0,0,1,1,0,0,1,1,0
602,75690,22,F,internet,0,0,0,0,0,0,0,1,0
603,75777,2,F,internet,1,1,1,1,1,1,1,0,1
604,75877,44,F,internet,1,0,1,0,0,0,0,0,0
605,75896,23,F,internet,0,0,0,0,0,0,0,1,0
606,76008,9,M,internet,1,0,0,0,1,0,1,1,0
607,76046,35,M,internet,1,1,1,1,1,1,1,0,0
608,76052,42,M,internet,0,0,0,0,0,0,0,1,0
609,76133,78,F,internet,1,1,0,0,0,1,1,1,1
610,76325,51,F,internet,1,1,1,1,0,1,1,1,1
611,76404,37,M,internet,0,1,0,0,0,0,0,0,0
612,76545,74,M,internet,1,1,1,1,0,1,1,1,1
613,76601,31,M,internet,1,0,1,0,1,1,1,1,0
614,76627,32,M,internet,1,1,1,1,0,1,1,1,1
615,76645,35,F,internet,1,1,1,1,0,0,0,0,0
616,76647,41,F,internet,0,0,0,0,1,0,0,0,0
617,76769,0,M,internet,0,0,0,0,1,0,0,0,0
618,76852,28,M,internet,0,0,0,0,1,0,0,0,0
619,76859,68,F,internet,0,0,0,0,1,0,0,0,0
620,76924,37,F,internet,0,1,0,0,0,0,0,0,0
621,76960,13,M,internet,0,0,0,0,1,0,0,0,0
622,76999,65,M,internet,0,0,0,0,1,0,0,0,0
623,77054,65,F,internet,0,1,0,0,0,0,0,0,0
624,77061,17,M,internet,1,0,0,0,1,0,0,1,0
625,77571,63,F,internet,1,0,1,0,1,1,1,1,0
626,77732,25,F,internet,0,1,0,0,1,0,1,1,1
627,77947,31,F,internet,1,1,1,1,0,0,0,0,1
628,77965,43,M,internet,1,1,1,1,0,1,1,1,1
629,78066,79,F,internet,1,1,0,0,1,0,0,0,0
630,78359,36,M,internet,1,0,1,1,0,0,0,0,0
631,78366,9,M,internet,1,1,1,1,0,0,0,0,0
632,78718,37,M,internet,0,1,0,0,1,0,0,1,0
633,79011,47,M,internet,0,1,0,0,0,0,0,0,0
634,79055,46,F,internet,1,1,1,1,0,0,0,0,0
635,79152,71,M,internet,0,1,0,0,0,0,0,0,0
636,79221,46,M,internet,1,1,1,1,0,0,0,1,0
637,79267,70,F,internet,0,1,0,0,0,0,0,0,0
638,79333,18,F,internet,1,1,0,0,1,1,1,1,0
639,79415,58,M,internet,1,0,1,1,0,0,0,0,0
640,79447,66,F,internet,0,0,0,0,1,0,0,0,0
641,79459,66,F,internet,1,1,1,0,0,0,0,0,0
642,79492,31,F,internet,0,1,0,0,1,1,0,0,0
643,79804,40,F,internet,0,0,1,0,0,0,0,0,0
644,79816,64,F,internet,0,0,0,0,0,0,0,1,0
645,79883,53,M,internet,1,1,0,0,0,0,0,0,0
646,80099,24,M,internet,1,1,1,1,1,1,1,0,1
647,80312,43,M,internet,0,1,1,0,1,0,0,1,0
648,80392,25,M,internet,0,0,0,0,1,0,0,0,0
649,80836,43,F,internet,0,0,0,0,1,0,0,0,0
650,80915,13,M,internet,1,0,1,1,0,0,0,1,0
651,80917,38,F,internet,0,0,0,0,1,0,0,0,0
652,81001,11,F,internet,0,0,0,0,1,0,0,0,0
653,81075,45,M,internet,0,0,0,0,1,0,0,0,0
654,81142,74,F,internet,1,0,1,1,1,0,0,0,0
655,81289,34,F,internet,0,0,0,0,1,0,0,0,0
656,81397,48,M,internet,1,1,0,1,0,1,1,1,0
657,81510,50,F,internet,1,1,1,1,1,1,1,0,1
658,81516,37,M,internet,0,1,1,1,0,0,0,0,0
659,81562,43,M,internet,1,1,1,1,0,1,1,1,1
660,81702,37,F,internet,1,1,1,1,1,1,1,0,0
661,81718,36,M,internet,0,0,0,0,1,1,1,0,0
662,82379,31,M,internet,1,1,1,1,1,1,1,0,1
663,82710,41,F,internet,1,1,1,1,1,1,1,0,1
664,82733,45,F,internet,0,0,0,0,1,1,1,0,0
665,82848,28,F,internet,1,1,1,1,1,1,1,0,1
666,83001,14,F,internet,1,1,1,1,1,1,1,0,1
667,83211,50,M,internet,1,1,1,1,0,1,1,1,0
668,83482,35,F,internet,1,1,1,1,1,1,1,0,1
669,83563,29,M,internet,1,1,1,1,0,1,1,1,0
670,83618,32,M,internet,1,1,1,1,1,1,0,0,1
671,83743,49,F,internet,1,1,1,1,1,1,1,0,1
672,83784,37,F,internet,0,0,0,0,1,0,0,0,0
673,83807,49,F,internet,0,1,1,1,1,1,1,0,1
674,83856,48,F,internet,1,1,1,1,1,1,1,0,1
675,83936,32,M,internet,1,0,0,0,1,1,0,0,0
676,84334,42,F,internet,0,1,0,1,1,0,0,1,0
677,84705,6,M,internet,1,1,0,0,1,1,1,1,0
678,84803,48,M,internet,1,1,1,1,1,1,1,0,1
679,84900,39,F,internet,0,1,0,0,0,0,0,0,0
680,85092,49,M,internet,1,1,1,1,0,0,0,1,0
681,85127,39,M,internet,1,1,1,0,1,1,1,0,1
682,85141,58,M,internet,0,1,0,1,1,0,0,1,0
683,85412,9,M,internet,1,1,1,1,1,1,1,0,1
684,85422,43,F,internet,1,1,1,1,1,1,1,0,1
685,85483,50,M,internet,1,0,1,1,0,0,0,0,0
686,85504,38,M,internet,0,0,0,0,0,0,0,1,0
687,85671,19,M,internet,1,1,1,1,1,1,1,0,1
688,85738,6,F,internet,0,0,0,0,1,0,1,1,0
689,85924,54,F,internet,1,1,1,1,1,0,0,0,0
690,85985,35,M,internet,1,1,1,1,1,1,1,0,1
691,86069,6,F,internet,1,1,0,0,1,1,0,1,0
692,86147,33,F,internet,1,0,1,1,0,0,1,1,0
693,86438,35,F,internet,1,1,1,1,0,1,1,1,1
694,86496,28,F,internet,0,0,0,0,0,0,0,1,0
695,86709,18,M,internet,1,1,1,1,0,1,1,1,1
696,86772,66,M,internet,1,1,0,0,1,1,1,1,1
697,86872,30,M,internet,1,0,1,0,1,1,1,1,0
698,87095,28,M,internet,1,1,1,0,0,0,0,1,0
699,87444,65,F,paper,0,1,1,0,0,0,0,0,1
700,87448,75,M,paper,0,1,0,0,0,0,0,0,0
701,87455,66,F,paper,1,1,1,1,1,0,0,0,0
702,87458,4,M,paper,1,1,1,0,0,0,0,0,1
703,87459,71,F,paper,0,0,0,0,0,0,0,1,1
704,87461,68,F,paper,0,0,0,0,0,0,0,1,0
705,87464,67,M,paper,0,1,1,1,0,0,0,0,0
706,87467,74,F,paper,1,1,1,1,1,0,0,0,0
707,87468,9,M,paper,1,1,1,1,1,0,0,0,0
708,87471,35,F,paper,1,1,1,1,0,1,1,1,1
709,87472,2,F,paper,1,1,1,1,0,1,1,1,1
710,87473,38,F,paper,1,1,1,1,0,1,1,1,1
711,87475,6,M,paper,1,1,1,1,0,1,1,1,1
712,87476,8,M,paper,1,1,0,1,0,1,1,1,0
713,87765,67,F,paper,1,1,1,1,1,1,0,0,1
714,87780,65,F,paper,1,1,1,1,1,1,1,0,1
715,87790,75,F,paper,1,1,1,1,1,1,1,0,1
716,87794,72,M,paper,1,1,0,0,0,1,1,0,1
717,87800,60,F,paper,0,1,0,0,0,0,0,1,0
718,87869,67,F,paper,0,0,0,0,0,0,0,0,0
