0,project_id,cost,category,votes,name,target,selected
1,1142,40000,"culture,public space",456,Strefa relaksu na Kępie Potockiej,"adults,seniors,families with children",1
2,2296,20800,"education,environmental protection,public space",449,Wieża lęgowa dla jerzyków,"children,youth,adults",1
3,2263,50000,"public space,health",417,Strefa wypoczynku na osiedlu Ruda,"seniors,families with children",1
4,1867,81330,sport,404,Miejsce spotkań sportowych dla dzieci na Rudzie,"children,families with children",1
5,2037,250000,public transit and roads,381,Budowa brakującego odcinka ścieżki rowerowej w ul. Rudzkiej od Hłaski do Łomiańskiej,"youth,families with children",1
6,518,10000,"environmental protection,public space,urban greenery",349,Kosze wzdłuż ulicy Lektykarskiej,"families with children,animals",1
7,248,9000,public transit and roads,345,Przejścia dla pieszych na skrzyżowaniu ulic Pęcickiej i Lektykarskiej,"children,seniors,families with children",1
8,1226,183000,"public transit and roads,public space",282,Skwer Marymonciak - wspólna przestrzeń dla mieszkańców w sercu Marymontu,"children,adults",0
9,2205,12400,"public space,sport,health",258,Nauka tańca dla osób dorosłych 45+ na osiedlu Ruda,"adults,seniors",1
