election_id,project_id,cost,name,score,latitude,longitude,target,category,district,selection_p,selection_u,selection_e,selection_eu
1,1043,33900,"Szycie jest proste - warsztaty szycia dla małych i dużych",None,None,None,"adults,seniors","education,culture,welfare","None",1,0,1,1
1,638,10200,"Sąsiedzi, pograjmy w siatkówkę!",None,None,None,"youth,adults,families with children","sport,health","None",1,0,1,1
1,1949,12000,"Potańcówka tangowa - milonga - Przystanek Tango",None,None,None,"youth,adults,seniors","culture","None",1,0,1,1
1,2098,150000,"Ursynowski Festiwal Orkiestr Dętych",None,None,None,"youth,adults,families with children","education,culture,public space","None",0,0,0,0
1,645,21030,"Joga śmiechu - cykliczne warsztaty",None,None,None,"adults,seniors,families with children","sport,health","None",1,0,1,1
1,640,11400,"Szkolne prace domowe - mniej, ciekawiej, inaczej",None,None,None,"youth,families with children","education","None",1,0,1,1
1,1603,27230,"Scrabble na Ursynowie",None,None,None,"youth,adults,seniors","education,culture,sport","None",1,0,1,1
1,1467,26200,"Kurs fotografii plenerowej - Naucz się w końcu wszystkich funkcji w swoim aparacie na Ursynowie:)",None,None,None,"youth,adults,students","education","None",1,0,1,1
1,1787,110390,"Tańcz jak chcesz i lubisz - bezpłatny kurs tańca nie tylko dla seniorów",None,None,None,"adults,seniors","culture,welfare,sport","None",0,0,0,0
1,1554,2157,"Prawo mówi wyraźnie, że prace domowe są tylko dobrowolne! Plakaty informujące o dobrowolności prac domowych",None,None,None,"children","education","None",1,0,1,1
1,1501,149000,"Mały Budżet - Wielkie Możliwości czyli budżet partycypacyjny dla dzieci",None,None,None,"children,youth,families with children","education","None",0,0,0,0
1,1459,155500,"Misie Ursynki dla wszystkich ursynowskich przedszkolaków i pierwszoklasistów szkół podstawowych rozdane we wrześniu 2019 roku",None,None,None,"children","education,culture","None",0,0,0,0
1,926,53000,"Łyk literatury",None,None,None,"youth,adults,seniors","education,culture","None",0,0,0,0
1,1957,60900,"Wielka camera obscura! Świetna edukacja i zabawa dla wszystkich. Niesamowity klimat i czar fotografii otworkowej",None,None,None,"children,seniors,families with children","education,public space","None",0,0,0,0
1,1018,38000,"Akademia starej motoryzacji cykl wykładów dotyczący motoryzacji i zlot zabytkowych samochodów na Ursynowie",None,None,None,"adults,families with children","education,culture,public space","None",1,0,0,0
1,1490,40700,"Kurs florystyki - układania kwiatów, tworzenia dekoracji z kwiatów, bukietów dla mieszkańców Ursynowa",None,None,None,"adults,seniors,people with disabilities","education","None",0,0,0,0
1,1229,200000,"Klub zainteresowanych komputerami, tabletami, smartfonami oraz korzystaniem z Internetu itp. dla dojrzałych i nie tylko",None,None,None,"youth,adults,seniors","education","None",0,0,0,0
