"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
1711,"Łączymy rowerowe szlaki - uzupełnienie sieci dróg rowerowych na Ursynowie o brakujące odcinki","public transit and roads,public space,sport","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,2437,0.03152570438022302,5614506,323000,0.057529549349488625,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
2016,"Ursynów przyjazny jeżom!","education,environmental protection,public space","children,youth,seniors",ursynow,2022,77302,2372,0.03068484644640501,5614506,9000,0.001602990539149838,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1875,"Rowerowa Od-Nowa: modernizacja dróg dla rowerów na Ursynowie","education,public transit and roads,environmental protection","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,2188,0.02830457167990479,5614506,1095500,0.1951195706265164,0,1,0,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
799,"Więcej tlenu, mniej pyłów i hałasu – posadzenie 200 drzew wzdłuż ulic Ursynowa","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,2084,0.02695919898579597,5614506,300000,0.053433017971661265,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
167,"Zielona Oś Ursynowa - Nowy Park i fontanna w otoczeniu pięknych kwiatów i ziół - obok Ratusza","public space,urban greenery","youth,adults,seniors",ursynow,2022,77302,1864,0.02411321828671962,5614506,890000,0.1585179533159284,0,1,0,0,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
797,"Oświetlenie ciągów pieszych i rowerowych na Ursynowie (Park Kozłowskiego, ul. Rosoła, Park Przy Bażantarni)","public transit and roads,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1756,0.02271610048899123,5614506,350000,0.06233852096693814,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1261,"Tężnia solankowa na Natolinie","environmental protection,public space,health","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1723,0.022289203384129777,5614506,420000,0.07480622516032577,1,1,0,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
975,"Zielone skwery na Ursynowie (kontynuacja)","public transit and roads,environmental protection,urban greenery","children,adults,seniors,people with disabilities",ursynow,2022,77302,1684,0.02178468862383897,5614506,212040,0.037766457102370185,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1080,"Małe Zakopane latem i zimą - to propozycja w 100% bezpłatnych ekologicznych lodowisk i górek zjazdowych wraz ze sprzętem do nauki jazdy na łyżwach, sankach dla całych rodzin w kilku lokalizacjach Ursynowa na świeżym powietrzu","education,environmental protection,public space","children,youth,adults",ursynow,2022,77302,1653,0.021383664070787303,5614506,882495,0.15718123731633735,0,1,0,0,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
19,"Ursynów zielona dzielnica Warszawy","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1620,0.020956766965925848,5614506,84000,0.014961245032065154,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1248,"Park, nie parking. Zadrzewienie parkingów pomiędzy Ratuszem a domem kultury Alternatywy","public transit and roads,environmental protection,public space","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1558,0.020154717859822514,5614506,144760,0.025783212271925617,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1265,"Rozświetlmy Ursynów! Oświetlenie ciemnych miejsc na Ursynowie","public transit and roads,public space","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1372,0.01774857054151251,5614506,820000,0.14605024912254078,0,1,0,0,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
2112,"Muzyczne lato na Ursynowie - plenerowe koncerty mistrzów klasyki, jazz, folk i inne","education,culture","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1312,0.016972393987218958,5614506,250000,0.04452751497638439,1,0,0,0,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1010,"30 drzew, 800 krzewów, przy ul. Rosoła i al. R. Anody - kontynuacja zielonej osi Ursynowa","public transit and roads,environmental protection,public space","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1310,0.016946521435409173,5614506,168900,0.03008278911804529,1,0,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1720,"Remont drogi rowerowej wzdłuż ul. Ciszewskiego","public transit and roads","children,youth,adults,seniors",ursynow,2022,77302,1305,0.016881840055884712,5614506,770000,0.1371447461272639,0,0,0,0,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
364,"Przebudowa drogi rowerowej wzdłuż Wąwozowej (od al. KEN do Stryjeńskich)","public transit and roads,environmental protection,public space","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1218,0.015756384052159064,5614506,940000,0.16742345631120528,0,0,0,0,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1761,"Zielone i bezpieczne place zabaw – nowe nasadzenia, naprawa lub wymiana urządzeń","education,public transit and roads,culture","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1213,0.015691702672634603,5614506,58000,0.010330383474521178,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
619,"Kwiaty i ozdobne antysmogowe krzewy dla Ursynowa - niczym mała Holandia - w drodze do szkoły - pracy - domu z myślą o wszystkich mieszkańcach","environmental protection,public space,urban greenery","children,youth,adults,seniors",ursynow,2022,77302,1174,0.015187187912343794,5614506,14025,0.002497993590175164,1,1,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
1320,"Garażówki na Ursynowie!!! Ursynowska ratuszowa wyprzedaż garażowa powraca!!!","education,public transit and roads,culture","children,youth,adults,seniors,people with disabilities",ursynow,2022,77302,1167,0.015096633981009548,5614506,79000,0.014070694732537466,1,0,1,1,0.5981308411214953,0.14018691588785046,0.5046728971962616,0.5420560747663551,0.994047383687897,0.9991653762592827,0.6997490073035811,0.996042216358839,107,approval
