election_id,voter_id,age,sex
1,37446,35,M
1,62602,11,F
1,85227,51,F
1,40227,32,F
1,42142,33,F
1,68648,15,M
1,5943,26,M
1,48566,38,F
1,82182,36,F
1,39453,72,F
1,10795,14,M
1,67628,35,F
1,36425,66,F
1,69683,32,F
1,16883,36,F
1,15914,35,F
1,46964,35,F
1,30875,45,F
1,77130,50,F
1,60179,58,M
1,33271,45,M
1,76555,43,F
1,44295,38,M
1,20910,34,M
1,32344,30,F
1,38503,28,F
1,60397,34,F
1,30420,45,M
1,61316,26,M
1,7368,42,F
1,10638,48,F
1,21704,53,F
1,48134,35,M
1,29002,47,M
1,80988,73,M
1,77533,28,F
1,62229,36,M
1,51220,28,F
1,54900,2,M
1,40683,55,M
1,64746,64,M
1,12274,38,M
1,78524,61,F
1,75765,49,F
1,7262,32,M
1,4654,37,M
1,4583,30,F
1,12266,39,M
1,47974,57,F
1,10426,29,M
1,60573,63,F
1,79552,46,F
1,35561,40,M
1,51646,34,F
1,53522,31,M
1,34019,36,F
1,51078,57,F
1,50266,44,F
1,86070,70,F
1,81490,30,F
1,7623,37,F
1,40326,20,F
1,53494,35,F
1,71956,16,M
1,39431,32,M
1,73481,33,F
1,83948,27,F
1,6445,37,F
1,28624,26,F
1,4111,31,M
1,66084,32,F
1,33020,46,M
1,37250,12,M
1,65994,34,F
1,56303,41,F
1,47217,28,F
1,23848,40,F
1,87036,45,M
1,29445,44,F
1,61838,25,M
1,76014,59,F
1,59970,30,M
1,83260,33,F
1,78442,43,F
1,32190,36,F
1,79282,35,M
1,76185,26,M
1,55301,69,M
1,74107,43,M
1,45967,9,M
1,87517,66,F
1,59312,38,M
1,23638,39,M
1,23031,25,M
1,49705,48,M
1,76984,67,M
1,44174,27,F
1,56309,43,M
1,53469,45,F
1,85165,43,F
1,53122,16,M
1,82777,36,F
1,7891,60,M
1,53312,48,F
1,50184,54,F
1,4072,64,F
1,27391,29,F
1,66429,22,F
1,64459,30,F
1,55614,71,F
1,36431,32,F
1,18159,64,F
1,62866,40,F
1,8226,54,F
1,8025,34,F
1,74552,42,F
1,38360,30,F
1,66067,21,F
1,37177,10,M
1,55235,30,F
1,40249,31,F
1,78301,41,M
1,927,42,M
1,29005,27,F
1,37259,3,F
1,62688,2,F
1,80750,27,M
1,29025,27,M
1,44349,26,M
1,3517,53,F
1,13122,77,M
1,47054,44,F
1,35259,39,M
1,85154,28,F
1,39807,7,F
1,43927,35,F
1,72997,62,M
1,15246,39,M
1,55052,12,M
1,71924,35,F
1,31643,25,F
1,84329,40,F
1,60208,35,F
1,82096,68,F
1,28419,43,F
1,7561,44,F
1,38220,38,M
1,30428,33,M
1,72599,39,M
1,44258,38,F
1,45399,40,F
1,8438,22,F
1,76878,35,F
1,55631,65,F
1,61532,37,F
1,46337,36,M
1,46450,31,F
1,41804,32,F
1,53376,25,M
1,52339,29,F
1,52719,11,M
1,55136,45,F
1,6576,45,F
1,38625,41,M
1,67496,31,F
1,76275,38,F
1,45347,29,F
1,47631,37,F
1,61855,25,M
1,69255,3,M
1,34784,28,F
1,46180,20,M
1,46256,35,F
1,55487,2,M
1,85940,28,M
1,73146,8,F
1,48338,27,M
1,81548,34,F
1,68620,68,F
1,15928,28,F
1,45339,43,M
1,28336,33,F
1,12140,43,M
1,51885,38,F
1,45111,32,M
1,69132,64,M
1,23148,43,F
1,68017,65,F
1,49637,23,F
1,47058,39,F
1,74553,35,F
1,51088,42,F
1,9519,74,F
1,77318,70,M
1,69348,62,M
1,83122,38,F
1,50776,29,M
1,39410,39,M
1,35337,50,M
1,61582,38,M
1,30396,14,M
1,63918,61,M
1,16644,35,F
1,49875,32,M
1,32501,74,M
1,64660,45,M
1,87783,33,F
1,9111,65,F
1,40742,28,M
1,62976,59,M
1,69458,31,F
1,47236,39,M
1,82011,46,F
1,17447,8,M
1,86373,44,F
1,87652,73,M
1,52080,27,F
1,16526,37,F
1,26230,66,F
1,49004,34,M
1,35912,78,F
1,20520,43,M
1,57252,34,F
1,86024,17,M
1,84261,34,F
