"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
1699,"Ursynowska ekologia - butelkomaty","environmental protection","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,2834,0.026539805025144452,4986682,880000,0.1764700456134961,0,1,0,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
1469,"Upiększamy park pod Kopą Cwila","public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,2743,0.025687609450942565,4986682,453200,0.0908820734909505,1,1,0,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
1947,"Zielone skwery na Ursynowie (kontynuacja)","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,2702,0.025303653203225234,4986682,576800,0.11566809353393699,0,1,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
224,"Zieleń zamiast betonu","public transit and roads,environmental protection,public space","youth,adults,seniors",ursynow,2021,106783,2550,0.02388020565071219,4986682,717200,0.14382308717499934,0,1,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
392,"Kwiaty i ozdobne antysmogowe krzewy dla Ursynowa - niczym mała Holandia - w drodze do szkoły - pracy - domu z myślą o wszystkich mieszkańcach","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,2345,0.021960424412125524,4986682,17780,0.0035654970579635918,1,1,1,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
782,"Piękne rośliny na ulicach Ursynowa, chroniące przed smogiem i hałasem","environmental protection,urban greenery","children,youth,adults,seniors,people with disabilities,animals",ursynow,2021,106783,2271,0.02126743020892839,4986682,35000,0.007018694995991322,1,1,1,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
954,"105 drzew, 1400 m2 krzewów i 1 ogród deszczowy przy ul. Rosoła","public transit and roads,environmental protection,public space","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,2211,0.020705543017146923,4986682,578900,0.11608921523369647,0,1,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
955,"Dbamy o ursynowskie drzewa - podlewanie","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,2163,0.020256033263721752,4986682,214500,0.04301457361828968,1,1,1,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
911,"Wygodniej rowerem przez Ursynów - zadaszone stojaki przy metrze i podpórki rowerowe przy skrzyżowaniach","public transit and roads,public space,sport","children,youth,adults,seniors",ursynow,2021,106783,2093,0.01960049820664338,4986682,418000,0.08382327166641065,0,1,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
1687,"Zadbany skwer zamiast rozdeptanego trawnika (róg al. KEN i ul. Przy Bażantarni)","environmental protection,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,2075,0.01943193204910894,4986682,61000,0.012232582707299162,1,1,1,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
459,"Zielony plac miejski przy wyjściu z metra Kabaty (w stronę Tesco)","public transit and roads,public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,1950,0.01826133373289756,4986682,960200,0.19255288386145336,0,1,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
2150,"Jurajski Plac Zabaw – niech dinozaury dalej cieszą dzieci. Modernizacja nawierzchni placu zabaw","public space,sport","children",ursynow,2021,106783,1923,0.0180084844965959,4986682,990000,0.19852880131518313,0,0,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
1821,"Lodowisko na Ursynowie (sezonowe i darmowe)","sport","children,youth,adults,seniors",ursynow,2021,106783,1923,0.0180084844965959,4986682,440500,0.08833528987811935,0,0,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
976,"Labirynt z żywopłotu","public space,urban greenery","children,youth,adults,seniors",ursynow,2021,106783,1916,0.017942930990888062,4986682,78152,0.015672144323620397,1,0,1,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
1048,"Doświetlenie przejść dla pieszych na Ursynowie","public transit and roads,public space","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,1893,0.01772754090070517,4986682,950000,0.19050743560547875,0,0,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
2223,"Lodowisko na Natolinie","sport","None",ursynow,2021,106783,1806,0.016912804472622046,4986682,365500,0.07329522917242366,1,0,0,0,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
357,"Poprawa bezpieczeństwa w Parku Przy Bażantarni - monitoring","public space,urban greenery","children,youth,adults,seniors,people with disabilities",ursynow,2021,106783,1786,0.016725508742028227,4986682,140400,0.028154993641062335,1,0,1,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
817,"Modernizacja drogi rowerowej pod wiaduktem ul. Dolina Służewiecka oraz w północnej części Parku im. Romana Kozłowskiego","public transit and roads,public space,sport","children,youth,adults,seniors",ursynow,2021,106783,1733,0.0162291750559546,4986682,323000,0.06477252810586277,0,0,0,1,0.580952380952381,0.14285714285714285,0.4666666666666667,0.49523809523809526,0.9973421204720895,0.9996787443033264,0.66437222185012,0.9964968690604293,105,approval
