"project id",name,category,target,city,year,"total number of votes","number of votes","popularity percentage","total budget",cost,"cost percentage","selected by phragmen","selected by greedy","selected by equal shares","selected by equal shares with greedy completion","percentage of phragmen selection","percentage of greedy selection","percentage of equalshares selection","percentage of equalshares selection with greedy completion","budget utilisation in phragmen","budget utilisation in utilitarian greedy","budget utilisation in equal shares","budget utilisation in equal shares with greedy completion","total number of projects","voting method"
2070,"Projekt rozbudowy parku jordanowskiego przy obiekcie Herbsta 4 w Warszawie","culture,public space,sport","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,353,0.003075020035541308,4986682,921000,0.18469194546594309,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1234,"Remont murków oporowych przy skrzyżowaniach i zatokach autobusowych wzdłuż ul. Puławskiej na terenie Ursynowa","public transit and roads,public space","youth,adults,seniors,people with disabilities",ursynow,2020,114796,342,0.0029791978814592843,4986682,950000,0.19050743560547875,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
876,"Pilates 18+ na Ursynowie","education,sport","adults,seniors",ursynow,2020,114796,310,0.002700442524129761,4986682,10000,0.0020053414274260922,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1739,"Stoliki do gry dla seniorów - park JP II","culture,public space,sport","adults,seniors",ursynow,2020,114796,305,0.0026568869995470226,4986682,12500,0.002506676784282615,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1457,"Zajęcia ogólnorozwojowe dla dzieci i doposażenie Klubu Malucha w MAL (Miejsce Aktywności Lokalnej) przy ul. Kłobuckiej 14","welfare,public space","children,youth,adults,people with disabilities",ursynow,2020,114796,295,0.0025697759503815463,4986682,21900,0.004391697726063142,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
880,"Fitnessowe wakacje 45+","education,sport","adults,seniors",ursynow,2020,114796,290,0.002526220425798808,4986682,22500,0.0045120182117087074,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1941,"Koszykówka dla dorosłych - Aktywni 35+","education,welfare,sport","adults",ursynow,2020,114796,288,0.002508798215965713,4986682,12000,0.0024064097129113107,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
633,"Cykl warsztatów szkolnych: praktyczna ekologia w domu, na zakupach, w podróży","education,environmental protection","children,youth",ursynow,2020,114796,286,0.002491376006132618,4986682,30150,0.006046104403689668,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
875,"Aktywne spacery dla mam z wózkami na Ursynowie","education,welfare,sport","children,adults",ursynow,2020,114796,283,0.002465242691382975,4986682,25800,0.005173780882759318,1,0,1,1,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
1654,"Ursynowskie sportowe rozgrywki rodzinne","education,public space,sport","children,youth,adults,seniors,people with disabilities",ursynow,2020,114796,281,0.0024478204815498797,4986682,62900,0.012613597578510119,0,0,0,0,0.5950413223140496,0.18181818181818182,0.4793388429752066,0.512396694214876,0.9961076322893659,0.9999837567344378,0.6861696815638134,0.9998050808132541,121,approval
